iter	RMSE
0	18.56429555
1	18.12258414
2	17.75125373
3	17.33871628
4	16.96318455
5	16.56139328
6	16.1961716
7	15.92597929
8	15.62930019
9	15.30827865
10	14.9823255
11	14.66978763
12	14.38058851
13	14.06432897
14	13.71875515
15	13.50692443
16	13.27301871
17	12.99658343
18	12.77058864
19	12.48791071
20	12.27038876
21	11.99607007
22	11.7850888
23	11.51611713
24	11.34785915
25	11.2240166
26	10.96398491
27	10.77501101
28	10.54890343
29	10.32451407
30	10.13119256
31	9.99227825
32	9.859362672
33	9.704976409
34	9.545292902
35	9.31080767
36	9.099761775
37	8.992117206
38	8.874601779
39	8.662641132
40	8.569203492
41	8.416184072
42	8.267452624
43	8.122039772
44	8.036777726
45	7.966150767
46	7.846975846
47	7.66810995
48	7.513190583
49	7.384851267
50	7.275466643
51	7.196471701
52	7.086919771
53	7.022171138
54	6.955949048
55	6.849680757
56	6.704520078
57	6.613813465
58	6.507174411
59	6.438015953
60	6.353118166
61	6.223606008
62	6.178091849
63	6.076053462
64	6.022151255
65	5.966703674
66	5.930693321
67	5.807665938
68	5.747502359
69	5.710816894
70	5.666608571
71	5.567539101
72	5.506536181
73	5.408336194
74	5.353965672
75	5.272298688
76	5.200840353
77	5.138992349
78	5.059748157
79	4.964048878
80	4.920325283
81	4.844401835
82	4.764296983
83	4.691033032
84	4.654521989
85	4.629977066
86	4.541834138
87	4.522265297
88	4.463904979
89	4.395171954
90	4.336103901
91	4.308843301
92	4.241183991
93	4.220213276
94	4.196926138
95	4.17599724
96	4.123220478
97	4.053070087
98	4.03153093
99	3.96129484
100	3.912667275
101	3.895432869
102	3.875477882
103	3.852154449
104	3.829054547
105	3.787952875
106	3.75118288
107	3.731015964
108	3.714377539
109	3.69414743
110	3.676600635
111	3.659185461
112	3.644568786
113	3.628459764
114	3.610362
115	3.575615132
116	3.517621819
117	3.49831666
118	3.486015225
119	3.466568628
120	3.45128863
121	3.432400521
122	3.414490622
123	3.355968473
124	3.306760874
125	3.284922076
126	3.226694212
127	3.213486072
128	3.163678194
129	3.102940481
130	3.092084428
131	3.080717577
132	3.023073935
133	3.010366455
134	2.990259921
135	2.97343671
136	2.967789099
137	2.955129446
138	2.945284233
139	2.895464909
140	2.84482096
141	2.832310465
142	2.821413911
143	2.780331193
144	2.772038663
145	2.724025513
146	2.68900667
147	2.6793437
148	2.649220366
149	2.640394298
150	2.631944657
151	2.623431295
152	2.612489497
153	2.604687571
154	2.59634903
155	2.587809803
156	2.5484427
157	2.538729551
158	2.494001539
159	2.484876212
160	2.440447812
161	2.433008159
162	2.426815512
163	2.421208155
164	2.384652858
165	2.378499863
166	2.371841521
167	2.329243181
168	2.293769937
169	2.286667074
170	2.254462419
171	2.2481391
172	2.218540883
173	2.212357473
174	2.205980102
175	2.199088089
176	2.168523144
177	2.162551205
178	2.151794016
179	2.121524413
180	2.115831572
181	2.081779772
182	2.055223548
183	2.049344319
184	2.044490144
185	2.039073613
186	2.011649882
187	2.004344919
188	1.999230271
189	1.994709644
190	1.96491523
191	1.944118137
192	1.91990145
193	1.915743214
194	1.889888786
195	1.864708564
196	1.860517999
197	1.856014863
198	1.851778073
199	1.847774003
200	1.84408185
201	1.823924612
202	1.800153115
203	1.796503988
204	1.79297605
205	1.772580863
206	1.753811057
207	1.736786164
208	1.733646539
209	1.730258192
210	1.707303799
211	1.695200444
212	1.69194809
213	1.688793033
214	1.669226706
215	1.655195381
216	1.65242439
217	1.649469232
218	1.63270547
219	1.613711538
220	1.611156919
221	1.594217096
222	1.584656574
223	1.575842707
224	1.573598564
225	1.558183249
226	1.543828591
227	1.531015793
228	1.5283155
229	1.51297624
230	1.498631306
231	1.495470921
232	1.492008821
233	1.476776729
234	1.463744361
235	1.449978633
236	1.439362173
237	1.425372313
238	1.420392717
239	1.417859061
240	1.406937533
241	1.392823527
242	1.38009814
243	1.36743399
244	1.362926921
245	1.352633579
246	1.343080005
247	1.332526697
248	1.322975877
249	1.311826074
250	1.302921998
251	1.295691185
252	1.287499825
253	1.282141037
254	1.272114417
255	1.264172508
256	1.254513535
257	1.245689555
258	1.235832925
259	1.22795014
260	1.220909751
261	1.211478282
262	1.204816639
263	1.196680998
264	1.195062046
265	1.188909614
266	1.181799447
267	1.172936524
268	1.165519736
269	1.157199156
270	1.148543542
271	1.144046616
272	1.137675869
273	1.13092838
274	1.124211062
275	1.11430759
276	1.108259923
277	1.105194343
278	1.098506581
279	1.091336723
280	1.083934221
281	1.076761321
282	1.071545075
283	1.067453041
284	1.064004352
285	1.057943707
286	1.050455521
287	1.043385017
288	1.036240252
289	1.031431916
290	1.025840068
291	1.020924884
292	1.01578548
293	1.009785249
294	1.00357212
295	0.9970502839
296	0.9957742533
297	0.9907499048
298	0.9867054604
299	0.9816561188
