iter	Passed	Remaining
0	181	54416
1	221	32967
2	261	25878
3	308	22865
4	355	20975
5	406	19928
6	450	18872
7	495	18080
8	538	17418
9	584	16937
10	628	16509
11	671	16118
12	714	15771
13	754	15419
14	795	15123
15	836	14840
16	877	14616
17	920	14428
18	961	14219
19	983	13766
20	1027	13652
21	1072	13556
22	1119	13481
23	1168	13432
24	1210	13310
25	1255	13229
26	1298	13124
27	1340	13019
28	1382	12917
29	1425	12832
30	1470	12756
31	1517	12707
32	1561	12635
33	1607	12576
34	1649	12490
35	1690	12398
36	1728	12288
37	1773	12230
38	1819	12175
39	1864	12119
40	1910	12067
41	1955	12014
42	2001	11962
43	2046	11905
44	2090	11846
45	2132	11777
46	2177	11719
47	2220	11658
48	2262	11588
49	2303	11519
50	2344	11448
51	2385	11374
52	2426	11309
53	2474	11271
54	2514	11202
55	2561	11162
56	2608	11119
57	2653	11070
58	2698	11023
59	2735	10943
60	2781	10896
61	2825	10846
62	2867	10785
63	2907	10721
64	2950	10668
65	2982	10573
66	3028	10532
67	3075	10491
68	3120	10448
69	3169	10413
70	3231	10424
71	3278	10381
72	3326	10344
73	3378	10317
74	3428	10284
75	3478	10252
76	3525	10211
77	3574	10174
78	3626	10145
79	3678	10117
80	3728	10081
81	3774	10033
82	3818	9984
83	3868	9946
84	3915	9903
85	3957	9847
86	4006	9808
87	4052	9763
88	4097	9714
89	4143	9667
90	4188	9619
91	4235	9577
92	4280	9527
93	4328	9486
94	4369	9429
95	4418	9388
96	4468	9350
97	4514	9304
98	4558	9254
99	4602	9204
100	4645	9153
101	4689	9102
102	4717	9023
103	4760	8971
104	4805	8924
105	4848	8874
106	4895	8829
107	4945	8792
108	5002	8765
109	5050	8722
110	5101	8686
111	5153	8649
112	5204	8613
113	5256	8575
114	5309	8540
115	5361	8504
116	5415	8469
117	5466	8431
118	5506	8375
119	5555	8332
120	5603	8289
121	5651	8245
122	5692	8191
123	5741	8149
124	5790	8107
125	5843	8069
126	5893	8027
127	5940	7983
128	5993	7945
129	6043	7903
130	6095	7863
131	6147	7824
132	6205	7791
133	6255	7749
134	6305	7706
135	6355	7664
136	6406	7622
137	6456	7579
138	6506	7536
139	6556	7492
140	6607	7450
141	6655	7404
142	6706	7362
143	6759	7322
144	6813	7283
145	6866	7242
146	6919	7201
147	6970	7158
148	7020	7114
149	7072	7072
150	7121	7027
151	7170	6981
152	7220	6937
153	7270	6893
154	7321	6849
155	7372	6805
156	7423	6761
157	7474	6717
158	7527	6675
159	7577	6629
160	7626	6584
161	7674	6537
162	7724	6492
163	7775	6447
164	7823	6401
165	7874	6356
166	7922	6309
167	7968	6261
168	8019	6215
169	8067	6169
170	8119	6125
171	8170	6080
172	8219	6034
173	8275	5992
174	8327	5948
175	8379	5903
176	8433	5860
177	8484	5815
178	8526	5763
179	8571	5714
180	8616	5664
181	8665	5618
182	8710	5568
183	8753	5518
184	8797	5468
185	8840	5418
186	8885	5369
187	8928	5319
188	8973	5269
189	9016	5220
190	9061	5170
191	9106	5122
192	9149	5072
193	9193	5023
194	9238	4974
195	9281	4924
196	9324	4875
197	9370	4827
198	9415	4778
199	9467	4733
200	9515	4686
201	9562	4639
202	9609	4591
203	9658	4544
204	9704	4497
205	9751	4449
206	9798	4402
207	9843	4353
208	9891	4306
209	9959	4268
210	10016	4224
211	10072	4180
212	10128	4137
213	10181	4091
214	10232	4045
215	10285	4000
216	10339	3954
217	10390	3908
218	10447	3864
219	10492	3815
220	10535	3765
221	10578	3716
222	10633	3671
223	10680	3623
224	10730	3576
225	10776	3528
226	10821	3480
227	10867	3431
228	10918	3385
229	10966	3337
230	11022	3292
231	11066	3243
232	11111	3195
233	11157	3146
234	11205	3099
235	11256	3052
236	11306	3005
237	11353	2957
238	11400	2909
239	11449	2862
240	11497	2814
241	11543	2766
242	11588	2718
243	11634	2670
244	11685	2623
245	11734	2575
246	11783	2528
247	11832	2480
248	11881	2433
249	11932	2386
250	11980	2338
251	12028	2291
252	12075	2243
253	12120	2195
254	12173	2148
255	12224	2101
256	12279	2054
257	12329	2007
258	12378	1959
259	12435	1913
260	12484	1865
261	12535	1818
262	12583	1770
263	12633	1722
264	12682	1674
265	12730	1627
266	12779	1579
267	12828	1531
268	12886	1485
269	12937	1437
270	12982	1389
271	13030	1341
272	13076	1293
273	13122	1245
274	13172	1197
275	13224	1149
276	13272	1102
277	13322	1054
278	13371	1006
279	13425	958
280	13475	911
281	13523	863
282	13571	815
283	13615	767
284	13663	719
285	13708	671
286	13759	623
287	13810	575
288	13860	527
289	13909	479
290	13959	431
291	14009	383
292	14059	335
293	14108	287
294	14154	239
295	14199	191
296	14243	143
297	14288	95
298	14332	47
299	14377	0
